Epoch 5, Loss nan, Accuracy 0.3327, Val Loss 1.4695, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.3326, Val Loss 1.4697, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.3316, Val Loss 1.4705, Val Accuracy 0.3709, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.3341, Val Loss 1.4701, Val Accuracy 0.3709, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.3343, Val Loss 1.4700, Val Accuracy 0.3713, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3339, Val Loss 1.4704, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.3338, Val Loss 1.4705, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.3342, Val Loss 1.4721, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.3341, Val Loss 1.4714, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.3320, Val Loss 1.4712, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.3335, Val Loss 1.4717, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.3312, Val Loss 1.4727, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.3348, Val Loss 1.4716, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.3359, Val Loss 1.4710, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.3345, Val Loss 1.4718, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.3335, Val Loss 1.4729, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.3340, Val Loss 1.4738, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.3330, Val Loss 1.4733, Val Accuracy 0.3708, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.3331, Val Loss 1.4739, Val Accuracy 0.3708, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.3334, Val Loss 1.4751, Val Accuracy 0.3708, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.3354, Val Loss 1.4653, Val Accuracy 0.3767, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.3833, Val Loss 1.2930, Val Accuracy 0.4501, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.4289, Val Loss 1.2457, Val Accuracy 0.5051, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.4373, Val Loss 1.2415, Val Accuracy 0.5111, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.3644, Val Loss 1.4702, Val Accuracy 0.3727, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3382, Val Loss 1.4632, Val Accuracy 0.3776, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.4341, Val Loss 1.2445, Val Accuracy 0.5084, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.4351, Val Loss 1.2722, Val Accuracy 0.4997, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.4252, Val Loss 1.2942, Val Accuracy 0.4895, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.4338, Val Loss 1.2697, Val Accuracy 0.5029, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.4359, Val Loss 1.2798, Val Accuracy 0.5009, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.4361, Val Loss 1.2772, Val Accuracy 0.5033, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.4337, Val Loss 1.3015, Val Accuracy 0.4948, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.4246, Val Loss 1.3317, Val Accuracy 0.4789, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.3487, Val Loss 1.4747, Val Accuracy 0.3861, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.4858, Val Loss 1.0509, Val Accuracy 0.5483, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.5287, Val Loss 1.0641, Val Accuracy 0.5600, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.5602, Val Loss 1.1356, Val Accuracy 0.5579, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.5828, Val Loss 1.2196, Val Accuracy 0.5544, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.6012, Val Loss 1.3015, Val Accuracy 0.5496, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.3329, Val Loss 1.4709, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.3332, Val Loss 1.4696, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.3332, Val Loss 1.4700, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.3316, Val Loss 1.4698, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.3317, Val Loss 1.4693, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3336, Val Loss 1.4697, Val Accuracy 0.3717, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.3333, Val Loss 1.4701, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.3329, Val Loss 1.4712, Val Accuracy 0.3711, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.3330, Val Loss 1.4709, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.3338, Val Loss 1.4706, Val Accuracy 0.3710, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.3314, Val Loss 1.4696, Val Accuracy 0.3712, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.3344, Val Loss 1.4697, Val Accuracy 0.3711, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
