Epoch 5, Loss 1.4623, Accuracy 0.3710, Val Loss 1.4662, Val Accuracy 0.3754, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 10, Loss 1.3497, Accuracy 0.4522, Val Loss 1.3592, Val Accuracy 0.4529, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 15, Loss 1.2848, Accuracy 0.4730, Val Loss 1.3066, Val Accuracy 0.4714, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 20, Loss 1.2775, Accuracy 0.4862, Val Loss 1.3017, Val Accuracy 0.4834, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 25, Loss 1.2700, Accuracy 0.4941, Val Loss 1.3002, Val Accuracy 0.4895, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 30, Loss 1.3105, Accuracy 0.4546, Val Loss 1.3588, Val Accuracy 0.3716, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 35, Loss 1.2559, Accuracy 0.4705, Val Loss 1.0838, Val Accuracy 0.5378, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 40, Loss 0.8528, Accuracy 0.6256, Val Loss 1.0338, Val Accuracy 0.5637, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 45, Loss 0.7446, Accuracy 0.6865, Val Loss 1.1979, Val Accuracy 0.5614, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 50, Loss 0.6745, Accuracy 0.7254, Val Loss 1.3733, Val Accuracy 0.5506, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 55, Loss 0.6174, Accuracy 0.7558, Val Loss 1.5039, Val Accuracy 0.5452, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 60, Loss 0.5730, Accuracy 0.7786, Val Loss 1.6267, Val Accuracy 0.5448, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 65, Loss 0.5371, Accuracy 0.7954, Val Loss 1.6748, Val Accuracy 0.5347, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 70, Loss 0.5057, Accuracy 0.8098, Val Loss 1.7264, Val Accuracy 0.5334, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 75, Loss 0.4758, Accuracy 0.8240, Val Loss 1.7170, Val Accuracy 0.5348, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 80, Loss 0.4577, Accuracy 0.8313, Val Loss 1.6729, Val Accuracy 0.5278, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 85, Loss 0.4390, Accuracy 0.8392, Val Loss 1.7002, Val Accuracy 0.5288, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 90, Loss 0.4191, Accuracy 0.8491, Val Loss 1.6966, Val Accuracy 0.5289, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 95, Loss 0.4067, Accuracy 0.8547, Val Loss 1.7485, Val Accuracy 0.5230, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 100, Loss 0.3984, Accuracy 0.8587, Val Loss 1.7911, Val Accuracy 0.5216, Tammax 100, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 5, Loss 1.4668, Accuracy 0.3666, Val Loss 1.4699, Val Accuracy 0.3707, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 10, Loss 1.4657, Accuracy 0.3671, Val Loss 1.4704, Val Accuracy 0.3713, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 15, Loss 1.4654, Accuracy 0.3672, Val Loss 1.4697, Val Accuracy 0.3713, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 20, Loss 1.4650, Accuracy 0.3674, Val Loss 1.4693, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 25, Loss 1.4649, Accuracy 0.3673, Val Loss 1.4702, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 30, Loss 1.4647, Accuracy 0.3674, Val Loss 1.4712, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 35, Loss 1.4647, Accuracy 0.3674, Val Loss 1.4726, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 40, Loss 1.4647, Accuracy 0.3674, Val Loss 1.4712, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 45, Loss 1.4604, Accuracy 0.3675, Val Loss 1.4641, Val Accuracy 0.3713, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 50, Loss 1.4518, Accuracy 0.3676, Val Loss 1.4543, Val Accuracy 0.3712, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 55, Loss 1.4541, Accuracy 0.3685, Val Loss 1.4621, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 60, Loss 1.4376, Accuracy 0.3678, Val Loss 1.4491, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 65, Loss 1.4347, Accuracy 0.3678, Val Loss 1.4483, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 70, Loss 1.0152, Accuracy 0.5558, Val Loss 1.0617, Val Accuracy 0.5435, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 75, Loss 0.8851, Accuracy 0.6086, Val Loss 1.1039, Val Accuracy 0.5379, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 80, Loss 0.8256, Accuracy 0.6355, Val Loss 1.1582, Val Accuracy 0.5385, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 85, Loss 0.7794, Accuracy 0.6534, Val Loss 1.2114, Val Accuracy 0.5373, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 90, Loss 0.7537, Accuracy 0.6636, Val Loss 1.2501, Val Accuracy 0.5341, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 95, Loss 0.7430, Accuracy 0.6676, Val Loss 1.2561, Val Accuracy 0.5325, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 100, Loss 0.7289, Accuracy 0.6731, Val Loss 1.2979, Val Accuracy 0.5407, Tammax 200, Batch size 256, Dropout 0.00, Bidirecional 0
Epoch 5, Loss 1.4582, Accuracy 0.3738, Val Loss 1.4647, Val Accuracy 0.3765, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 10, Loss 1.1989, Accuracy 0.5219, Val Loss 1.2052, Val Accuracy 0.5191, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 15, Loss 1.1876, Accuracy 0.5250, Val Loss 1.2062, Val Accuracy 0.5188, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 20, Loss 1.1898, Accuracy 0.5197, Val Loss 1.2189, Val Accuracy 0.5113, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 25, Loss 1.0548, Accuracy 0.5483, Val Loss 1.0800, Val Accuracy 0.5377, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 30, Loss 0.9218, Accuracy 0.6098, Val Loss 1.0536, Val Accuracy 0.5544, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 35, Loss 0.8698, Accuracy 0.6341, Val Loss 1.0487, Val Accuracy 0.5587, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 40, Loss 0.8065, Accuracy 0.6717, Val Loss 1.0822, Val Accuracy 0.5593, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 45, Loss 0.7637, Accuracy 0.6964, Val Loss 1.1146, Val Accuracy 0.5631, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 50, Loss 0.7313, Accuracy 0.7142, Val Loss 1.1320, Val Accuracy 0.5672, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 55, Loss 0.7017, Accuracy 0.7311, Val Loss 1.1670, Val Accuracy 0.5658, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 60, Loss 0.6806, Accuracy 0.7439, Val Loss 1.1763, Val Accuracy 0.5613, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 65, Loss 0.6563, Accuracy 0.7581, Val Loss 1.2012, Val Accuracy 0.5632, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 70, Loss 0.6374, Accuracy 0.7678, Val Loss 1.2103, Val Accuracy 0.5627, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 75, Loss 0.6247, Accuracy 0.7769, Val Loss 1.2424, Val Accuracy 0.5647, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 80, Loss 0.6069, Accuracy 0.7853, Val Loss 1.2805, Val Accuracy 0.5572, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 85, Loss 0.5926, Accuracy 0.7917, Val Loss 1.2999, Val Accuracy 0.5553, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 90, Loss 0.5798, Accuracy 0.7968, Val Loss 1.2932, Val Accuracy 0.5576, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 95, Loss 0.6538, Accuracy 0.7705, Val Loss 1.3097, Val Accuracy 0.5427, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 100, Loss 0.5762, Accuracy 0.8006, Val Loss 1.3290, Val Accuracy 0.5521, Tammax 100, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 5, Loss 1.4670, Accuracy 0.3665, Val Loss 1.4696, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 10, Loss 1.4664, Accuracy 0.3666, Val Loss 1.4691, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 15, Loss 1.4662, Accuracy 0.3667, Val Loss 1.4696, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 20, Loss 1.4660, Accuracy 0.3668, Val Loss 1.4701, Val Accuracy 0.3708, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 25, Loss 1.4725, Accuracy 0.3666, Val Loss 1.4693, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 30, Loss 1.4659, Accuracy 0.3668, Val Loss 1.4699, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 35, Loss 1.4659, Accuracy 0.3668, Val Loss 1.4698, Val Accuracy 0.3707, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 40, Loss 1.4659, Accuracy 0.3668, Val Loss 1.4700, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 45, Loss 1.4658, Accuracy 0.3668, Val Loss 1.4707, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 50, Loss 1.4657, Accuracy 0.3668, Val Loss 1.4705, Val Accuracy 0.3705, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 55, Loss 1.4656, Accuracy 0.3670, Val Loss 1.4710, Val Accuracy 0.3705, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 60, Loss 1.4654, Accuracy 0.3670, Val Loss 1.4714, Val Accuracy 0.3705, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 65, Loss 1.4653, Accuracy 0.3671, Val Loss 1.4738, Val Accuracy 0.3705, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 70, Loss 1.4653, Accuracy 0.3671, Val Loss 1.4717, Val Accuracy 0.3704, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 75, Loss 1.4653, Accuracy 0.3671, Val Loss 1.4720, Val Accuracy 0.3704, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 80, Loss 1.4651, Accuracy 0.3671, Val Loss 1.4732, Val Accuracy 0.3705, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 85, Loss 1.4650, Accuracy 0.3672, Val Loss 1.4741, Val Accuracy 0.3704, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 90, Loss 1.4648, Accuracy 0.3672, Val Loss 1.4743, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 95, Loss 1.4647, Accuracy 0.3673, Val Loss 1.4742, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 100, Loss 1.4646, Accuracy 0.3673, Val Loss 1.4755, Val Accuracy 0.3704, Tammax 200, Batch size 512, Dropout 0.00, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.3899, Val Loss 1.3608, Val Accuracy 0.4580, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.4094, Val Loss 1.2854, Val Accuracy 0.4919, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.3725, Val Loss 1.4668, Val Accuracy 0.3756, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.3410, Val Loss 1.4464, Val Accuracy 0.3851, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.4850, Val Loss 1.0330, Val Accuracy 0.5447, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.5296, Val Loss 1.0486, Val Accuracy 0.5644, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.5592, Val Loss 1.1042, Val Accuracy 0.5603, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.5799, Val Loss 1.1637, Val Accuracy 0.5650, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.5988, Val Loss 1.2033, Val Accuracy 0.5577, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.6083, Val Loss 1.2942, Val Accuracy 0.5560, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.6183, Val Loss 1.3555, Val Accuracy 0.5428, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.6286, Val Loss 1.3750, Val Accuracy 0.5523, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.6331, Val Loss 1.4456, Val Accuracy 0.5421, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.6379, Val Loss 1.4668, Val Accuracy 0.5444, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.6434, Val Loss 1.5051, Val Accuracy 0.5361, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.6445, Val Loss 1.5177, Val Accuracy 0.5399, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.6541, Val Loss 1.5748, Val Accuracy 0.5373, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.6554, Val Loss 1.6164, Val Accuracy 0.5286, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.6589, Val Loss 1.6128, Val Accuracy 0.5324, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.6636, Val Loss 1.6197, Val Accuracy 0.5301, Tammax 100, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.3307, Val Loss 1.4705, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.3343, Val Loss 1.4702, Val Accuracy 0.3706, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.3333, Val Loss 1.4690, Val Accuracy 0.3708, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.3309, Val Loss 1.4698, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.3341, Val Loss 1.4698, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3327, Val Loss 1.4703, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.3347, Val Loss 1.4700, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.3342, Val Loss 1.4689, Val Accuracy 0.3711, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.3336, Val Loss 1.4690, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.3311, Val Loss 1.4698, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.3342, Val Loss 1.4692, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.3335, Val Loss 1.4697, Val Accuracy 0.3709, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.3342, Val Loss 1.4703, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.3320, Val Loss 1.4708, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.3359, Val Loss 1.4649, Val Accuracy 0.3708, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.3335, Val Loss 1.4629, Val Accuracy 0.3710, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.3698, Val Loss 1.2457, Val Accuracy 0.4998, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.4693, Val Loss 1.0995, Val Accuracy 0.5372, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.4821, Val Loss 1.1203, Val Accuracy 0.5329, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.4998, Val Loss 1.1340, Val Accuracy 0.5359, Tammax 200, Batch size 256, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.4014, Val Loss 1.3763, Val Accuracy 0.4088, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.4178, Val Loss 1.2608, Val Accuracy 0.4821, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.4178, Val Loss 1.3132, Val Accuracy 0.4818, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.4113, Val Loss 1.3425, Val Accuracy 0.4650, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.4134, Val Loss 1.3293, Val Accuracy 0.4737, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3845, Val Loss 1.3114, Val Accuracy 0.4116, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.4390, Val Loss 1.2108, Val Accuracy 0.5095, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 40, Loss nan, Accuracy 0.4435, Val Loss 1.2039, Val Accuracy 0.5118, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 45, Loss nan, Accuracy 0.4406, Val Loss 1.2131, Val Accuracy 0.5012, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 50, Loss nan, Accuracy 0.4353, Val Loss 1.2067, Val Accuracy 0.5046, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 55, Loss nan, Accuracy 0.4251, Val Loss 1.2040, Val Accuracy 0.4995, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 60, Loss nan, Accuracy 0.4445, Val Loss 1.2021, Val Accuracy 0.5124, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 65, Loss nan, Accuracy 0.4379, Val Loss 1.2420, Val Accuracy 0.5043, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 70, Loss nan, Accuracy 0.4222, Val Loss 1.2302, Val Accuracy 0.4946, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 75, Loss nan, Accuracy 0.4116, Val Loss 1.2607, Val Accuracy 0.4723, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 80, Loss nan, Accuracy 0.3377, Val Loss 1.4681, Val Accuracy 0.3766, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 85, Loss nan, Accuracy 0.3405, Val Loss 1.4692, Val Accuracy 0.3772, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 90, Loss nan, Accuracy 0.3411, Val Loss 1.4710, Val Accuracy 0.3771, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 95, Loss nan, Accuracy 0.3455, Val Loss 1.4738, Val Accuracy 0.3816, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 100, Loss nan, Accuracy 0.4821, Val Loss 1.0724, Val Accuracy 0.5380, Tammax 100, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 5, Loss nan, Accuracy 0.3308, Val Loss 1.4698, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 10, Loss nan, Accuracy 0.3338, Val Loss 1.4699, Val Accuracy 0.3706, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 15, Loss nan, Accuracy 0.3327, Val Loss 1.4689, Val Accuracy 0.3713, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 20, Loss nan, Accuracy 0.3314, Val Loss 1.4687, Val Accuracy 0.3713, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 25, Loss nan, Accuracy 0.3333, Val Loss 1.4692, Val Accuracy 0.3714, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 30, Loss nan, Accuracy 0.3313, Val Loss 1.4690, Val Accuracy 0.3715, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
Epoch 35, Loss nan, Accuracy 0.3307, Val Loss 1.4693, Val Accuracy 0.3714, Tammax 200, Batch size 512, Dropout 0.25, Bidirecional 0
